InitialMass,MeltTemp,EndState,FinalMass,FinalAlt,FinalVel,FinalLat,FinalLon
12,810,demise,0.155,102.27,5.367,17.692,83.419
12,860,demise,0.252,99.78,5.314,19.144,83.713
12,910,demise,0.411,97.355,5.431,20.266,83.945
12,960,demise,0.771,94.76,5.284,21.217,84.146
12,1010,demise,1.556,92.273,5.281,21.971,84.307
12,1060,demise,3.076,89.646,5.174,22.634,84.451
12,1110,impact,5.702,0,0.005,24.803,84.753
12,1160,impact,9.685,0,0.007,25.256,84.895
12,1210,impact,12,0,0.008,25.417,84.945
12,1260,impact,12,0,0.008,25.417,84.945
12,1310,impact,12,0,0.008,25.417,84.945
12,1360,impact,12,0,0.008,25.417,84.945
22,810,demise,0.132,101.746,5.295,25.534,85.098
22,860,demise,0.143,98.967,5.252,27.739,85.621
22,910,demise,0.217,96.297,4.991,29.181,85.978
22,960,demise,0.483,93.788,4.917,30.208,86.241
22,1010,demise,1.074,91.512,5.14,30.986,86.444
22,1060,demise,2.28,89.137,5.125,31.673,86.628
22,1110,impact,4.395,0,0.005,33.748,86.98
22,1160,impact,7.796,0,0.006,34.319,87.194
22,1210,impact,12.85,0,0.008,34.779,87.365
22,1260,impact,19.423,0,0.01,35.123,87.491
22,1310,impact,22,0,0.011,35.216,87.526
22,1360,impact,22,0,0.011,35.216,87.526
32,810,demise,0,98.176,5.881,41.96,89.878
32,860,demise,0,96.01,5.496,42.971,90.267
32,910,demise,0.05,93.921,4.199,43.787,90.592
32,960,demise,0.28,91.873,4.767,44.488,90.88
32,1010,demise,0.784,89.765,4.734,45.125,91.149
32,1060,demise,1.816,87.691,4.833,45.687,91.393
32,1110,demise,3.662,85.652,4.904,46.185,91.615
32,1160,impact,6.692,0,0.006,47.999,92.229
32,1210,impact,11.243,0,0.008,48.478,92.514
32,1260,impact,17.609,0,0.009,48.875,92.749
32,1310,impact,25.777,0,0.011,49.188,92.935
32,1360,impact,32,0,0.013,49.348,93.031
42,810,demise,0,94.302,6.56,75.325,-170.821
42,860,demise,0,92.932,6.23,75.105,-169.015
42,910,demise,0,91.558,5.765,74.883,-167.349
42,960,demise,0.107,90.049,4.27,74.641,-165.681
42,1010,demise,0.49,88.382,4.366,74.381,-164.027
42,1060,demise,1.288,86.671,4.509,74.12,-162.502
42,1110,demise,2.757,84.917,4.636,73.863,-161.098
42,1160,impact,5.235,0,0.005,72.899,-157.033
42,1210,impact,9.11,0,0.007,72.539,-155.478
42,1260,impact,14.728,0,0.009,72.221,-154.202
42,1310,impact,22.387,0,0.011,71.946,-153.164
42,1360,impact,32.142,0,0.013,71.718,-152.344
