InitialMass,MeltTemp,EndState,FinalMass,FinalAlt,FinalVel,FinalLat,FinalLon
10,800,demise,0.148,102.766,5.407,16.126,83.109
10,810,demise,0.165,102.346,5.564,16.388,83.161
10,820,demise,0.185,101.799,5.405,16.695,83.221
10,830,demise,0.202,101.341,5.474,16.951,83.272
10,840,demise,0.223,100.863,5.505,17.204,83.322
10,850,demise,0.247,100.366,5.498,17.454,83.372
10,860,demise,0.272,99.848,5.457,17.7,83.421
10,870,demise,0.302,99.309,5.386,17.943,83.47
10,880,demise,0.337,98.884,5.506,18.135,83.509
10,890,demise,0.371,98.304,5.379,18.372,83.557
10,900,demise,0.415,97.846,5.437,18.559,83.594
10,910,demise,0.468,97.373,5.469,18.743,83.632
10,920,demise,0.525,96.731,5.29,18.971,83.678
10,930,demise,0.593,96.222,5.286,19.149,83.715
10,940,demise,0.674,95.698,5.265,19.325,83.751
10,950,demise,0.769,95.326,5.393,19.453,83.777
10,960,demise,0.875,94.773,5.342,19.625,83.813
10,970,demise,1.002,94.203,5.283,19.794,83.848
10,980,demise,1.154,93.615,5.219,19.961,83.883
10,990,demise,1.322,93.199,5.281,20.081,83.908
10,1000,demise,1.522,92.58,5.204,20.245,83.942
10,1010,demise,1.745,92.142,5.242,20.361,83.966
10,1020,demise,2.005,91.695,5.268,20.475,83.99
10,1030,demise,2.298,91.028,5.176,20.633,84.023
10,1040,demise,2.628,90.558,5.186,20.744,84.047
10,1050,demise,3,90.079,5.188,20.854,84.07
10,1060,demise,3.416,89.589,5.182,20.962,84.093
10,1070,demise,3.88,89.09,5.169,21.068,84.115
10,1080,impact,4.395,0,0.005,22.808,84.289
10,1090,impact,4.963,0,0.005,22.917,84.323
10,1100,impact,5.58,0,0.005,23.02,84.355
10,1110,impact,6.257,0,0.006,23.117,84.385
10,1120,impact,6.984,0,0.006,23.208,84.413
10,1130,impact,7.759,0,0.006,23.293,84.439
10,1140,impact,8.56,0,0.007,23.369,84.463
10,1150,impact,9.353,0,0.007,23.435,84.484
10,1160,impact,9.989,0,0.007,23.482,84.498
10,1170,impact,10,0,0.007,23.483,84.499
10,1180,impact,10,0,0.007,23.483,84.499
10,1190,impact,10,0,0.007,23.483,84.499
10,1200,impact,10,0,0.007,23.483,84.499
10,1210,impact,10,0,0.007,23.483,84.499
10,1220,impact,10,0,0.007,23.483,84.499
10,1230,impact,10,0,0.007,23.483,84.499
10,1240,impact,10,0,0.007,23.483,84.499
10,1250,impact,10,0,0.007,23.483,84.499
10,1260,impact,10,0,0.007,23.483,84.499
10,1270,impact,10,0,0.007,23.483,84.499
10,1280,impact,10,0,0.007,23.483,84.499
10,1290,impact,10,0,0.007,23.483,84.499
10,1300,impact,10,0,0.007,23.483,84.499
10,1310,impact,10,0,0.007,23.483,84.499
10,1320,impact,10,0,0.007,23.483,84.499
10,1330,impact,10,0,0.007,23.483,84.499
10,1340,impact,10,0,0.007,23.483,84.499
10,1350,impact,10,0,0.007,23.483,84.499
10,1360,impact,10,0,0.007,23.483,84.499
10,1370,impact,10,0,0.007,23.483,84.499
10,1380,impact,10,0,0.007,23.483,84.499
10,1390,impact,10,0,0.007,23.483,84.499
15,800,demise,0.128,102.725,5.482,19.303,83.745
15,810,demise,0.143,102.23,5.425,19.685,83.824
15,820,demise,0.162,101.708,5.324,20.064,83.903
15,830,demise,0.171,101.255,5.452,20.392,83.971
15,840,demise,0.188,100.778,5.519,20.715,84.039
